,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,69,23,3,74,7,47,2,26,35,5,44,12
C#,21,35,2,29,13,16,28,12,52,17,25,20
D,1,8,4,5,5,9,14,5,16,11,1,7
D#,35,32,2,23,4,6,16,23,82,6,20,3
E,19,6,5,9,10,5,4,7,10,16,7,5
F,25,16,7,24,7,13,7,16,33,5,30,7
F#,6,16,6,4,8,15,18,7,17,17,6,13
G,11,30,5,8,11,16,6,9,11,4,36,2
G#,74,22,14,27,4,34,10,29,90,3,30,44
A,5,24,9,12,10,1,12,7,2,14,12,4
A#,55,24,7,34,18,20,6,6,30,10,39,13
B,25,34,22,3,6,8,10,2,4,4,5,10
