,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,209,289,18,135,43,22,42,19,154,76,54,44
C#,292,716,83,255,303,99,187,37,401,165,87,163
D,21,94,82,136,38,36,13,28,37,17,10,47
D#,130,278,123,399,235,79,134,22,270,31,46,77
E,32,347,70,244,492,40,171,32,322,182,41,97
F,23,98,35,98,27,310,125,31,141,49,124,32
F#,39,123,26,166,249,140,287,110,207,107,50,91
G,21,31,14,25,38,24,90,176,136,7,14,29
G#,164,491,49,176,344,171,314,85,865,219,90,241
A,78,148,17,41,136,52,128,15,268,258,62,122
A#,65,69,3,73,39,82,40,21,136,47,292,92
B,31,103,40,76,126,38,64,29,272,167,89,405
