,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,485,48,67,30,108,98,12,78,31,129,107,99
C#,39,186,119,17,222,53,37,66,64,169,72,46
D,150,106,978,25,225,157,147,172,25,459,78,94
D#,23,28,60,80,29,20,16,24,10,22,25,3
E,113,216,261,15,447,167,117,200,45,294,37,62
F,92,52,174,65,214,308,22,89,36,149,89,27
F#,6,32,121,29,118,55,211,75,14,165,22,29
G,100,86,100,13,223,154,114,350,50,146,114,61
G#,29,92,13,2,36,39,13,33,105,69,31,31
A,155,139,515,34,247,187,148,225,45,1426,118,116
A#,55,46,97,24,48,58,26,132,34,168,115,21
B,45,59,111,6,57,21,14,67,34,159,16,151
