,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,108,19,9,29,48,15,15,56,27,25,14,31
C#,23,236,12,22,49,23,48,75,40,16,88,126
D,18,17,110,22,12,58,18,35,47,28,35,42
D#,25,22,27,153,25,18,32,66,58,16,68,56
E,34,81,15,41,158,17,23,99,63,27,23,111
F,17,18,51,13,21,154,11,34,76,20,28,44
F#,16,47,24,42,27,14,125,11,30,22,27,33
G,64,28,32,61,125,39,18,224,15,64,121,79
G#,29,61,47,51,78,49,27,20,139,14,26,124
A,23,20,20,9,26,25,27,73,23,130,10,17
A#,14,89,42,67,56,21,35,98,27,9,211,22
B,25,120,53,56,67,54,39,79,119,32,40,272
