,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,434,38,78,221,84,105,65,119,90,90,78,76
C#,59,70,43,7,79,63,49,36,30,6,48,12
D,113,29,160,51,11,272,41,135,66,34,39,127
D#,148,18,120,229,39,31,204,147,40,46,72,45
E,40,58,26,61,76,44,3,135,10,39,40,19
F,55,28,153,136,42,185,45,65,250,55,86,66
F#,37,14,18,125,13,80,187,52,11,70,52,70
G,172,50,46,89,72,93,29,507,87,12,90,121
G#,156,55,41,22,13,142,26,84,150,28,57,124
A,183,10,37,12,25,27,31,33,25,94,47,20
A#,40,117,116,94,49,56,20,22,41,37,243,49
B,41,15,240,92,48,68,29,33,98,33,32,138
