,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,1,1,4,7,3,2,8,3,7,2,6,1
C#,3,9,1,7,9,1,5,4,15,2,3,4
D,2,2,2,5,6,3,4,3,10,2,1,7
D#,3,12,4,11,10,8,3,11,10,6,10,9
E,6,9,1,11,4,3,3,4,15,1,9,6
F,2,2,4,9,2,9,9,2,9,6,11,9
F#,4,3,3,8,5,6,1,3,14,10,17,7
G,3,4,7,6,4,3,6,8,9,3,7,4
G#,7,8,9,16,11,5,7,9,20,4,24,14
A,4,3,1,5,2,2,7,2,4,3,12,2
A#,4,3,8,8,12,21,15,10,12,7,15,15
B,6,7,3,4,4,11,12,5,9,2,15,15
