,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,11,15,1,46,16,1,2,13,8,9,1,19
C#,9,95,29,31,71,34,70,4,35,24,6,22
D,5,26,5,18,6,35,15,1,6,2,1,4
D#,6,15,1,25,10,1,118,22,51,16,6,5
E,10,23,2,19,88,1,59,22,142,29,48,38
F,13,19,6,5,3,4,7,1,34,2,3,16
F#,6,43,1,32,20,6,62,2,26,97,12,54
G,1,27,1,10,7,2,2,2,5,1,13,3
G#,33,71,2,32,100,7,4,3,64,31,6,79
A,37,60,92,23,19,1,8,28,34,38,6,47
A#,6,2,5,8,19,2,1,1,8,1,8,12
B,17,28,52,52,74,2,13,1,33,24,3,102
