,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,2,15,28,19,18,29,10,11,1,22,8,21
C#,3,20,31,13,55,9,21,7,10,23,5,36
D,6,26,16,4,60,54,26,12,2,27,14,35
D#,6,4,14,6,20,3,49,2,1,4,6,9
E,5,14,27,16,90,32,43,50,76,46,4,32
F,39,18,8,4,17,3,12,23,23,35,8,12
F#,2,11,15,5,29,6,35,23,23,121,2,30
G,10,16,2,7,17,5,21,2,5,27,30,8
G#,3,6,8,6,21,7,30,3,9,35,54,71
A,73,67,16,4,48,19,32,7,30,85,15,78
A#,3,33,8,3,9,14,1,8,2,11,2,2
B,32,19,123,30,51,4,14,2,19,38,2,49
