,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,205,59,51,335,130,195,41,114,104,69,108,26
C#,88,128,25,274,234,154,46,35,125,36,56,39
D,25,16,146,18,139,70,186,88,6,50,4,40
D#,160,141,12,352,82,48,107,193,323,54,154,56
E,19,103,69,30,134,41,60,145,175,140,48,161
F,128,75,12,66,23,132,11,84,112,180,55,18
F#,37,64,44,64,73,10,161,16,94,115,64,114
G,86,130,62,62,23,74,9,99,62,42,206,115
G#,320,140,41,224,36,31,52,76,207,56,55,188
A,196,136,92,7,98,46,35,28,46,165,27,133
A#,138,221,12,89,15,69,36,64,96,19,89,19
B,36,27,222,160,138,26,112,28,76,83,1,94
