,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,254,65,94,157,14,97,28,40,72,58,269,46
C#,76,174,31,51,21,50,33,14,28,3,72,22
D,168,33,212,221,7,143,26,67,37,20,158,37
D#,145,75,259,403,32,167,70,197,93,28,175,27
E,13,13,8,27,29,53,8,36,7,3,6,1
F,87,37,146,253,36,343,61,126,170,63,172,20
F#,17,18,26,57,14,90,100,41,26,37,75,30
G,59,12,79,159,20,196,44,244,140,38,187,20
G#,49,42,39,71,5,166,59,188,249,23,131,42
A,81,3,42,23,1,35,35,47,28,81,149,7
A#,178,88,163,228,20,158,53,176,174,169,727,62
B,67,15,30,21,5,16,14,22,40,9,74,60
