,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,11,7,16,38,8,16,10,39,12,2,12,9
C#,10,1,2,3,17,5,42,2,2,2,4,52
D,16,27,10,17,13,7,28,11,2,4,8,1
D#,8,8,15,8,5,9,1,35,8,22,14,1
E,2,6,10,2,14,9,29,6,1,3,2,32
F,10,4,3,13,6,8,3,27,20,4,11,1
F#,1,54,17,23,28,24,50,10,2,5,35,41
G,68,4,10,13,2,20,9,31,19,29,15,16
G#,23,2,2,4,10,7,13,32,1,1,2,19
A,2,1,4,2,6,5,5,27,3,11,1,26
A#,9,3,6,6,1,4,46,11,7,5,11,3
B,10,36,6,1,30,10,58,2,23,7,2,36
