,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,34,1,25,77,7,3,4,1,29,1,21,33
C#,14,7,10,2,3,5,32,1,15,12,18,30
D,30,3,1,7,24,3,7,2,3,3,3,1
D#,69,27,3,239,6,6,1,32,51,6,30,1
E,1,5,23,2,6,19,12,1,6,5,4,2
F,1,10,1,3,17,1,44,8,12,3,5,1
F#,23,41,14,3,4,7,18,4,8,13,2,2
G,8,4,2,17,1,6,5,35,30,5,18,2
G#,1,17,2,43,4,8,44,25,76,28,15,1
A,1,4,4,7,2,2,21,6,14,6,1,30
A#,31,13,6,32,2,10,15,12,11,3,23,2
B,34,5,1,2,9,22,1,3,1,19,2,1
