,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,51,17,86,9,32,20,12,42,1,73,62,84
C#,16,50,172,3,150,9,14,21,7,83,69,89
D,136,196,2873,12,261,185,141,158,36,303,79,157
D#,4,5,18,16,20,2,32,40,2,7,5,25
E,34,123,269,3,189,116,128,150,44,232,41,25
F,19,3,240,17,120,112,13,41,38,70,20,31
F#,6,12,107,31,164,12,67,108,26,199,25,14
G,52,23,117,11,161,91,156,111,9,152,78,54
G#,1,5,31,1,14,46,28,6,218,113,11,52
A,95,111,397,2,140,78,143,189,67,990,107,129
A#,39,41,80,7,33,10,26,137,16,106,145,10
B,36,97,148,24,70,43,11,52,62,119,8,109
