,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,49,4,13,9,17,49,12,20,6,34,4,1
C#,1,13,3,2,5,6,5,1,13,21,6,3
D,14,5,39,1,9,26,3,17,1,32,14,15
D#,12,1,1,17,9,4,9,13,8,1,19,19
E,13,14,16,11,6,3,4,19,47,10,4,3
F,52,10,16,11,3,68,4,15,9,29,14,1
F#,1,6,19,2,4,1,145,2,3,5,2,5
G,20,1,21,15,22,11,1,28,5,23,16,6
G#,3,15,1,10,2,12,4,2,9,35,1,1
A,33,3,28,3,20,30,19,16,1,64,10,6
A#,8,1,14,6,2,20,3,24,4,6,33,1
B,2,5,5,19,12,1,7,9,4,9,2,74
