,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,1500,163,323,261,298,119,73,305,110,205,84,204
C#,149,271,134,44,397,111,150,11,112,325,73,71
D,356,115,603,47,366,245,169,241,22,185,40,433
D#,176,33,110,216,43,66,73,119,122,79,36,29
E,317,252,341,35,1072,199,57,351,201,379,14,143
F,80,121,201,121,214,377,20,308,161,157,79,74
F#,32,73,150,50,108,16,307,143,31,319,8,72
G,409,25,206,68,373,341,120,1384,146,458,82,198
G#,130,139,23,88,156,152,21,164,382,92,227,110
A,247,519,175,101,196,144,250,568,90,531,26,105
A#,72,83,67,59,7,71,8,23,236,50,108,15
B,178,54,489,12,131,72,61,192,71,172,22,134
