,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,456,61,88,101,113,66,13,136,56,53,61,83
C#,69,94,41,48,23,16,13,13,6,16,43,19
D,69,21,225,54,77,83,20,72,31,37,12,60
D#,80,53,37,132,20,83,27,73,69,18,10,10
E,96,27,57,9,240,72,36,126,17,56,7,19
F,39,21,81,72,75,223,22,122,37,35,18,38
F#,18,6,19,21,23,16,325,56,24,22,7,37
G,176,18,51,68,96,102,41,391,90,111,24,57
G#,57,21,26,62,16,44,11,72,236,23,59,45
A,48,15,51,20,40,42,23,76,19,257,36,68
A#,67,34,10,15,12,13,21,31,47,27,115,19
B,112,30,75,10,26,24,22,57,40,40,19,235
