,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,129,23,20,72,148,31,55,82,27,107,14,63
C#,25,88,25,35,124,26,103,11,39,27,65,46
D,37,22,80,19,25,57,56,63,10,50,27,88
D#,45,40,38,234,58,10,170,54,31,69,31,112
E,102,80,47,51,245,23,93,252,86,87,36,108
F,31,21,26,11,16,34,20,8,34,49,10,17
F#,28,54,47,109,123,9,227,60,21,166,74,149
G,77,36,56,64,147,9,84,195,24,24,43,180
G#,26,28,8,42,42,22,36,22,47,36,19,91
A,187,50,36,65,70,24,107,47,25,106,20,68
A#,17,129,32,18,26,15,36,27,22,8,55,36
B,67,43,119,172,187,17,80,118,53,76,27,315
