,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,86,23,17,43,41,16,39,13,29,41,13,39
C#,33,348,30,153,190,15,127,17,126,98,38,224
D,24,31,90,21,35,20,21,19,25,26,14,40
D#,22,104,16,220,175,13,119,17,149,69,20,180
E,35,216,47,172,857,15,234,27,286,196,55,324
F,15,17,20,12,14,82,40,10,34,14,11,24
F#,42,122,33,109,229,27,385,23,197,111,56,288
G,10,8,11,10,30,13,29,54,27,15,17,31
G#,38,189,16,103,259,38,225,8,601,155,55,254
A,51,99,27,77,169,13,123,24,163,305,22,143
A#,11,50,5,26,51,6,50,13,45,16,47,63
B,33,192,54,158,414,35,230,30,259,170,35,1026
