,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,141,66,20,93,48,84,34,56,99,56,84,5
C#,72,104,4,52,60,117,43,45,91,27,105,19
D,18,12,21,13,12,23,8,17,10,15,29,11
D#,80,59,12,113,6,63,63,35,88,20,53,11
E,46,51,17,16,58,32,9,34,34,30,42,15
F,110,121,28,56,32,132,31,35,105,37,57,15
F#,32,52,12,60,13,29,64,6,18,31,50,7
G,59,46,9,47,37,53,11,76,30,17,46,16
G#,97,68,14,69,43,109,24,49,142,14,28,17
A,59,29,13,33,24,37,27,10,6,40,29,7
A#,67,102,31,44,40,67,53,63,36,18,126,9
B,5,29,8,7,11,13,7,20,15,10,7,27
