,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,596,26,277,53,202,89,45,223,33,234,57,180
C#,26,186,87,70,96,29,52,20,23,54,83,55
D,193,53,334,106,276,107,52,153,38,101,22,162
D#,87,30,65,125,107,70,64,66,24,16,28,79
E,221,138,201,43,671,210,167,227,66,154,63,158
F,104,22,180,54,167,270,55,185,52,72,20,59
F#,35,45,74,122,104,29,284,162,49,102,30,120
G,281,31,117,68,276,199,136,586,58,196,80,136
G#,24,31,29,20,76,63,35,73,117,73,40,74
A,144,56,106,18,119,103,132,197,71,286,63,199
A#,60,84,21,31,45,28,26,87,29,61,144,40
B,243,79,107,51,180,43,108,185,95,145,26,276
