,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,70,98,31,60,29,43,29,39,37,56,143,111
C#,77,175,127,103,100,38,164,60,82,92,105,220
D,68,157,176,92,98,66,78,86,35,104,51,116
D#,104,123,124,216,143,44,81,84,103,43,75,116
E,46,175,151,147,254,66,158,126,68,96,63,133
F,27,49,42,130,98,44,86,34,42,28,47,39
F#,37,146,112,162,243,82,419,129,104,70,77,237
G,71,54,84,120,145,95,175,191,110,66,112,71
G#,32,59,32,58,91,82,200,138,156,94,100,70
A,53,51,90,25,73,35,111,140,85,232,107,97
A#,54,93,48,66,67,40,112,173,179,88,163,148
B,107,163,110,77,142,31,205,93,111,130,189,396
