,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,126,60,54,40,81,24,10,41,24,45,25,125
C#,36,86,86,55,53,2,47,38,37,108,23,158
D,88,56,64,73,111,28,14,27,14,60,12,89
D#,21,78,46,81,188,22,100,23,46,33,11,82
E,76,111,144,173,379,101,111,85,118,124,33,145
F,9,3,37,25,84,45,92,60,40,14,6,32
F#,10,33,41,92,204,51,188,87,76,71,22,121
G,72,4,35,18,80,84,72,205,77,57,22,50
G#,15,56,21,39,122,24,135,43,100,147,23,126
A,71,95,30,25,102,22,94,83,172,122,60,118
A#,11,53,5,12,22,4,13,19,27,31,104,132
B,121,94,73,98,173,40,120,65,120,182,92,437
