,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,213,18,61,27,69,15,83,28,6,64,10,60
C#,5,68,95,17,72,13,25,15,10,33,21,49
D,71,103,382,23,103,36,159,194,21,74,24,99
D#,31,9,10,75,23,16,33,23,6,11,10,17
E,52,56,122,13,106,20,46,103,4,70,7,47
F,15,11,23,16,19,96,17,25,28,13,19,11
F#,42,14,130,30,77,6,302,88,3,185,43,57
G,53,38,163,15,85,20,120,176,10,110,27,170
G#,8,3,6,62,14,11,11,10,31,28,8,46
A,72,38,101,7,46,22,126,148,29,352,21,115
A#,15,39,24,17,1,16,32,20,7,15,44,13
B,77,26,173,24,31,22,23,157,21,122,9,69
