,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,88,8,14,8,2,20,7,30,13,94,20,10
C#,6,94,14,2,32,12,10,6,8,24,36,4
D,12,12,174,10,3,136,6,36,1,14,176,4
D#,18,4,24,96,3,10,36,24,3,20,28,10
E,10,30,4,2,34,16,1,4,4,4,1,15
F,24,12,129,18,14,280,6,22,6,14,95,5
F#,4,6,8,38,1,6,56,4,4,20,22,3
G,29,4,24,32,12,20,4,96,3,6,53,2
G#,6,4,5,5,2,12,1,2,18,2,5,24
A,84,20,14,18,3,28,28,8,2,98,12,4
A#,13,50,173,38,4,80,18,52,6,14,499,2
B,10,6,6,10,42,3,2,16,24,2,2,16
