,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,34,20,1,77,3,3,4,3,29,30,21,1
C#,14,7,2,37,3,5,32,3,15,12,18,30
D,16,11,1,7,11,4,7,2,34,7,3,2
D#,69,27,3,239,4,6,1,32,51,6,30,1
E,1,5,9,2,3,1,2,1,2,18,4,24
F,1,10,4,3,2,7,44,6,12,3,5,1
F#,23,41,14,3,18,7,18,38,2,13,2,40
G,8,4,28,17,26,7,8,35,30,3,18,28
G#,37,17,1,43,4,8,44,25,76,8,15,3
A,5,1,1,7,5,5,21,12,3,4,1,2
A#,31,13,6,32,2,10,15,12,11,3,23,2
B,10,1,1,4,39,22,24,3,45,9,2,5
