,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,171,27,148,280,386,121,23,270,66,92,76,49
C#,20,71,37,96,88,140,30,90,90,21,18,25
D,104,36,228,38,78,308,250,317,57,234,92,96
D#,80,68,36,174,15,130,48,277,198,18,250,5
E,103,40,139,11,85,59,35,385,29,144,21,53
F,164,45,71,109,74,212,10,158,136,239,199,17
F#,58,28,98,6,47,7,54,45,23,160,34,43
G,365,109,257,84,104,90,63,370,44,106,282,428
G#,224,86,38,168,7,24,6,57,115,35,87,16
A,266,122,205,44,139,81,44,141,22,179,30,67
A#,103,76,272,264,14,151,13,85,75,40,220,15
B,51,18,309,25,67,111,27,106,8,72,20,52
