,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,21,4,14,1,5,16,14,4,2,13,24,12
C#,3,26,64,5,26,6,8,15,1,53,2,16
D,29,35,272,21,104,62,47,42,18,105,33,36
D#,2,4,16,28,10,17,2,8,1,2,10,3
E,8,34,98,5,93,41,56,23,8,75,7,29
F,15,8,37,15,37,85,12,45,8,53,19,2
F#,4,6,53,1,49,7,52,59,12,32,2,20
G,3,17,30,3,39,41,50,86,22,55,26,23
G#,2,4,10,1,6,7,2,6,26,50,4,1
A,12,48,145,9,73,40,50,66,11,278,53,23
A#,16,9,38,8,7,11,1,23,5,61,123,7
B,3,30,26,2,28,3,19,18,5,31,7,54
