,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,697,121,117,106,38,261,8,51,35,113,205,22
C#,139,315,63,9,18,24,8,3,5,12,65,13
D,179,15,278,209,31,209,9,18,3,16,157,36
D#,61,51,202,452,45,135,60,107,15,7,78,6
E,37,13,7,8,85,130,84,33,2,15,17,2
F,189,16,136,198,64,1153,86,145,65,138,214,41
F#,5,1,11,29,80,100,135,48,21,34,40,4
G,66,3,16,60,36,180,32,312,63,110,163,9
G#,57,18,1,7,1,29,36,108,157,30,44,6
A,105,6,9,9,9,72,30,115,8,257,262,61
A#,168,104,284,129,16,120,24,107,114,148,1086,67
B,71,11,36,3,6,32,69,2,6,2,37,92
