,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,854,36,177,198,339,157,67,250,69,168,79,183
C#,27,60,59,19,63,32,16,22,24,23,36,30
D,235,48,270,68,124,249,42,238,25,59,22,53
D#,96,12,68,126,34,48,180,153,43,20,17,42
E,145,35,227,47,245,111,51,407,22,121,24,43
F,82,27,103,70,196,235,12,165,79,126,27,55
F#,53,12,18,38,97,15,125,138,8,145,21,60
G,497,31,124,115,179,186,121,845,67,124,108,249
G#,115,40,17,20,11,40,18,76,98,45,21,61
A,277,30,103,37,78,41,52,177,60,281,68,85
A#,52,60,26,47,24,21,12,59,34,79,113,25
B,144,20,241,54,88,42,34,116,33,98,16,150
