,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,121,72,79,32,45,50,19,22,13,123,25,57
C#,67,157,315,64,125,24,113,34,18,188,42,139
D,93,304,1614,38,431,115,282,114,44,247,94,310
D#,38,15,35,45,165,43,20,11,7,11,2,67
E,80,206,521,82,562,51,110,191,57,279,38,134
F,29,34,115,25,55,92,133,43,16,141,25,7
F#,21,77,270,67,176,91,356,132,83,383,24,98
G,30,39,112,14,258,39,157,344,46,325,39,145
G#,7,37,23,3,70,20,31,63,133,219,67,131
A,101,208,287,37,208,161,459,369,171,1523,54,155
A#,25,30,76,9,23,17,25,46,11,72,171,151
B,46,107,240,43,193,12,72,179,205,222,75,413
