,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,96,4,27,52,161,62,12,3,2,22,36,47
C#,15,183,103,15,267,23,200,27,55,44,70,133
D,53,66,164,47,104,51,205,150,15,13,18,120
D#,14,22,3,63,32,44,97,4,28,14,22,59
E,2,108,56,25,42,8,210,27,20,107,152,39
F,6,14,6,15,5,123,52,64,36,39,63,80
F#,53,156,120,88,110,59,855,93,62,277,112,192
G,189,6,9,9,54,40,73,384,4,125,41,129
G#,6,50,3,11,24,17,76,2,69,33,40,53
A,72,117,119,6,81,3,133,81,37,250,8,49
A#,36,273,53,30,22,27,58,18,39,33,338,85
B,47,120,228,97,47,92,153,54,32,54,61,203
