,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,2060,252,177,271,178,90,21,195,140,78,112,178
C#,195,568,141,65,55,51,24,22,46,51,117,29
D,141,49,556,300,76,217,26,87,45,53,59,74
D#,241,66,224,1194,72,153,106,293,115,29,161,155
E,170,44,64,57,471,249,39,79,35,32,10,24
F,124,128,197,157,138,1476,153,218,147,76,122,36
F#,14,42,29,102,45,107,321,153,41,55,36,70
G,195,12,82,289,101,190,80,1511,275,78,202,70
G#,69,39,42,114,67,220,31,233,1244,153,82,37
A,90,17,29,6,35,89,51,48,78,675,294,69
A#,133,117,63,173,19,113,63,212,119,173,785,167
B,321,30,79,81,17,17,100,33,46,28,157,453
