,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,51,13,30,12,48,13,15,21,7,69,21,71
C#,4,24,52,3,44,5,12,12,13,72,11,15
D,51,44,76,17,93,29,14,46,17,58,14,68
D#,12,8,9,11,67,2,16,7,2,11,1,25
E,88,88,93,60,181,60,35,31,81,100,14,133
F,13,9,74,6,72,29,13,30,5,30,7,11
F#,12,8,36,19,43,12,20,42,12,28,5,24
G,29,13,36,4,70,49,49,60,11,44,13,9
G#,3,13,22,3,104,10,16,10,9,42,1,45
A,33,21,57,19,106,67,49,76,41,95,21,46
A#,4,5,18,2,9,9,8,24,3,29,3,21
B,71,21,23,15,128,14,14,28,80,53,21,48
