,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,204,16,54,35,135,69,12,36,20,127,31,142
C#,12,64,53,11,34,13,17,7,7,46,10,25
D,85,39,176,19,91,100,13,79,30,79,11,102
D#,23,6,10,53,71,12,24,4,31,25,4,14
E,124,58,121,32,361,66,23,49,111,277,12,97
F,43,11,123,24,113,140,11,40,17,84,21,38
F#,16,11,11,8,32,2,68,28,23,43,1,26
G,59,5,41,10,70,91,17,133,7,31,30,48
G#,24,16,22,16,79,27,30,11,116,112,2,60
A,171,54,111,38,191,120,32,97,76,386,31,83
A#,16,6,26,6,15,12,3,16,13,38,61,4
B,104,13,76,25,140,13,19,42,64,141,2,130
