,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,185,25,27,96,24,117,12,69,163,15,62,35
C#,38,95,8,51,26,59,17,30,48,3,79,8
D,23,7,44,25,5,39,7,30,43,11,35,31
D#,111,45,20,160,4,47,27,62,82,11,84,27
E,45,15,9,5,24,8,7,17,22,5,27,13
F,87,62,40,50,9,128,14,46,126,9,65,31
F#,10,25,11,20,3,17,36,11,13,9,37,9
G,66,37,29,69,27,50,8,95,50,9,59,23
G#,152,51,43,89,24,98,17,62,201,9,85,62
A,9,8,6,8,3,12,12,6,8,15,17,1
A#,64,83,25,83,28,61,32,66,83,8,136,27
B,40,9,38,24,20,31,12,29,53,1,10,48
