,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,183,40,22,97,78,49,41,74,67,103,43,76
C#,53,359,62,58,137,83,127,55,78,74,154,119
D,49,70,262,49,54,127,85,105,58,94,103,191
D#,93,77,48,422,46,27,198,149,103,61,123,92
E,66,164,105,49,298,51,55,205,77,75,71,99
F,43,82,118,76,57,297,73,25,111,75,69,55
F#,56,119,101,165,100,76,412,59,62,134,159,151
G,97,51,113,129,214,59,71,396,35,49,183,149
G#,69,90,40,63,66,124,105,52,236,41,61,177
A,91,69,97,64,69,55,135,119,60,423,56,47
A#,31,140,120,142,73,69,142,169,92,63,369,67
B,43,98,159,125,123,64,150,137,145,93,86,381
