,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,288,41,122,37,76,68,12,47,11,107,68,100
C#,41,119,31,36,94,23,25,10,15,39,22,43
D,110,38,212,17,131,83,22,27,14,55,25,22
D#,38,31,25,50,66,16,7,5,15,17,2,12
E,69,97,113,60,403,165,95,59,44,155,15,78
F,81,8,64,22,190,214,19,71,30,72,43,21
F#,8,19,18,10,63,15,63,41,76,27,13,24
G,62,12,16,10,56,88,46,211,15,90,34,14
G#,13,24,23,13,43,25,47,26,116,98,16,48
A,86,53,68,18,129,79,18,94,71,484,55,167
A#,41,27,33,228,15,37,8,43,17,72,134,12
B,140,29,31,11,87,22,15,20,68,105,12,181
