,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,115,3,25,103,9,79,13,20,2,39,26,4
C#,5,6,13,2,17,2,1,1,31,3,3,2
D,28,4,97,9,28,200,18,62,10,6,86,3
D#,32,1,8,35,21,35,39,56,65,55,7,5
E,8,2,15,1,9,3,6,25,2,5,26,24
F,33,20,104,29,2,132,1,17,13,103,213,1
F#,30,3,6,10,12,3,9,1,3,43,9,20
G,46,9,31,21,9,17,3,43,4,13,84,9
G#,64,1,19,1,1,1,4,2,2,12,4,1
A,112,6,26,37,4,50,19,17,8,37,18,4
A#,20,7,214,22,15,122,8,40,4,24,167,5
B,7,2,5,4,1,6,37,1,62,2,4,5
