,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,7,4,27,2,1,1,1,4,1,4,50,56
C#,7,3,23,14,2,4,5,1,2,2,17,14
D,37,24,12,5,28,4,2,2,3,5,2,2
D#,1,5,8,4,23,1,6,1,2,1,2,5
E,5,3,39,20,18,20,29,9,1,5,4,13
F,1,12,4,1,32,4,9,6,1,1,4,3
F#,1,4,2,1,32,9,11,49,9,7,1,12
G,3,1,2,1,8,12,49,10,6,39,2,5
G#,8,1,1,5,2,21,8,9,1,17,4,2
A,7,2,4,3,7,3,6,38,18,9,11,34
A#,11,1,6,2,2,1,3,3,24,12,2,14
B,39,26,7,3,12,1,11,10,3,38,8,18
