,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,271,51,41,17,110,359,5,23,43,69,23,11
C#,43,68,7,35,32,92,3,2,11,2,32,2
D,30,6,51,1,17,93,14,15,7,15,29,2
D#,18,19,2,64,19,22,21,11,24,1,12,2
E,3,8,14,19,41,18,8,194,1,21,35,13
F,72,42,28,20,21,140,3,54,157,291,147,12
F#,21,2,2,2,4,1,12,1,7,7,12,21
G,131,18,10,8,65,27,1,26,9,26,43,1
G#,82,41,7,19,2,59,7,12,22,1,12,31
A,274,15,13,1,24,86,6,8,18,59,17,34
A#,62,57,102,10,27,53,8,19,13,12,93,2
B,16,2,5,18,12,37,1,10,1,1,3,37
