File Path,Piece Tital,Composer
nocturne_37_1_(c)unknown,"Yoonie Han: Nocturne in G minor, Op  37, No  1",
strings_11-3_(c)onclassical,Code.org Quote Maker App Tutorial - Lesson 11 Functions Unit 4 CS Principles,
bilder_1_(c)yogore,4 Bilder 1 Wort - Level 250-278 - Löse 7 Rätsel aus dem Bereich - Lösungen Antworten,
concerto_15_3_(c)lucarelli,"K. 450 Mozart Piano Concerto No. 15 in B-flat major, III Allegro",
hungarian_dance_12_(c)yogore,Johannes Brahms - Hungarian Dance No. 12 - Presto,Brahms
hirt_auf_dem_felsen_129_2_(c)bakels,"Der Hirt auf dem Felsen, Op. 129, D. 965: Wenn auf dem höchsten Fels ich steh",
carnaval_17-20_(c)oguri,Carnaval de Concepcion 2011 Par.17/20,
ballade_10_2_(c)dery,"Ballade, Op. 10: No. 2 in D Major",
winterreise_1_(c)yogore,Franz Schubert Winterreise - Ian Bostridge and Julius Drake (Part 1/24),Schubert
symphony_5_2_(c)lucarelli,"Beethoven -5th Symphony, 2nd movement: Andante Con Moto",Beethoven
grand_marches_40_2_(c)yogore,"Schubert, 6 Grandes Marches, D.819 Op.40 No.2",Schubert
waltzes_39_3_(c)yogore,Brahms - Waltz Op. 39 No. 3,Brahms
fugue_72_3_(c)yogore,"6 Etudes, Op. 111: No. 3. Prelude and Fugue: Fugue: Moderato espressivo",
nocturne_c_sharp-_(c)unknown,Chopin - Nocturne in C Sharp Minor (No. 20),Chopin
symphonic_etude_13b_(c)hisamori,"Schumann: Symphonic Etudes, Op.13 (Pogorelich)",Schumann
christmas_tree_suite_12_(c)halstead,Unboxing My 12ft Christmas Tree🎄!/Clean and Decorate With Me! /Lobby Hobby 12ft Yuletide  Pine Tree!,
hungarian_dance_8_(c)yogore,Johannes Brahms - Hungarian Dance No. 8 - Presto,Brahms
ave_maria_(c)yogore,Schubert - Ave Maria,Schubert
gestirne_(c)yogore,Dietrich Fischer-Dieskau; &quot;Die Gestirne&quot;;  D 444; Franz Schubert,Schubert
sonata_D894_3_(c)bucknall,"Piano sonata in G Major, D. 894 &quot;Fantaisie&quot;: III. Menuetto. Allegro moderato - Trio",
adagio_D897_(c)ko-edwards,"Schubert: Adagio in E flat, Op.posth. 148 D.897 &quot;Notturno&quot;",Schubert
waltzes_D365_(c)yogore,36 ORIGINAL DANCES - OP 9 - D 365 - Schubert,Schubert
mazurka_17_2_(c)yogore,Chopin Mazurka Op.17 No.2 By Arthur Rubinstein (30/154),Chopin
sonata_D664_(c)hisamori,"Franz Schubert, Piano Sonata in A (D.664). András Schiff",Schubert
winterreise_8-9_(c)yogore,"Winterreise, D. 911: No. 8, Rückblick",
clarinet_quintett_115_1_bakels,"Clarinet Quintet in B Minor, Op. 115: I. Allegro",
variations_haydn_56a_8_(bakels),Johannes Brahms - Variationen B-Dur über ein Thema von Joseph Haydn op. 56a | WDR Sinfonieorchester,Brahms
hongroise_mov1_(c)yogore,"Schubert : Mélodie hongroise D. 817, par David Fray",Schubert
mazurka_50_2_(c)yogore,Chopin Mazurka Op.50 No.2 By Arthur Rubinstein (50/154),Chopin
sonata_58_3_(c)finley,"Chopin: Sonata No.3 in B Minor, Op.58 (Fialkowska, Kissin)",Chopin
etude_25_11_(c)finley,Chopin - Etude Op. 25 No. 11 (Winter Wind),Chopin
klavierstucke_119_2_(c)lefeldt,"Brahms - 4 Klavierstücke, Op. 119 (Murray Perahia)",Brahms
sonata_D958_3_(c)bucknall,"Alfred Brendel plays Schubert - Piano Sonatas D958, D959, D960 (1988)",Schubert
consolation_1_(c)halstead,Consolation No. 1 - Liszt (Piano Cover),Liszt
mazurka_67_3_(c)yogore,"Arthur Rubinstein - Chopin Mazurka, Op. 67 No. 3",Chopin
concerto_11_2_(c)oguri,"[Caritas Collectio] Vivaldi: Concerto for Two Violins &amp; Cello in d, RV 565",
standchen_(c)yogore,Schubert Ständchen (Serenade) Peter Schreier,Schubert
quartet_41-2_3_(c)onclassical,"Robert Schumann - String Quartet No.2, Op. 41/2 (with score)",Schumann
prelude_and_fugue_g_minor_(borsari),Bach - WTC I Prelude and fugue in G minor BWV 861 - Alard | Netherlands Bach Society,
polonaise_posth_Gb_(c)dery,Chopin : Polonaise in G minor - Posthumous,Chopin
sonate_22_2_(c)lefeldt,"Schumann: Sonata No.2 in G Minor, Op.22 (Nakamatsu)",Schumann
valse_posth_Eb_(c)dery,Chopin Waltz No.17 Op.Posth. in E-flat - P. Barton FEURICH piano,Chopin
march_heroiques_3_(c)yogore,Marcia funebre (Adagio assai) - Sinfonía n.º 3 (Beethoven),Beethoven
sonate_2-pianos_34b_4_(c)lefeldt,Brahms Sonata f-moll for two pianos - Anastasia &amp; Lubov Gromoglasova,Brahms
mazurka_posth_50_(c)yogore,"Chopin: Mazurkas, Op.50 – Op. Posth (Fialkowska)",Chopin
mazurka_63_2_(c)yogore,"Arthur Rubinstein - Chopin Mazurka, Op. 63 No. 2",Chopin
valses_sentimentales_(c)yogore,F. Schubert - 34 Valses sentimentales D 779/Op.50 (w/score),Schubert
hungarian_dance_6_(c)yogore,Johannes Brahms - Hungarian Dance No. 6 - Vivace,Brahms
variations_haydn_56a_5_(bakels),Brahms - Variazioni su tema di Haydn op. 56a (score),Brahms
christmas_tree_suite_3_(c)halstead,Christmas Tree Suite by Franz Liszt No 3 Die Hirten an der Krippe,Liszt
mazurka_33_4_(c)unknown,Chopin Mazurka Op.33 No.4 By Arthur Rubinstein (44/154),Chopin
variations_haydn_56a_2_(bakels),"Brahms: Variations on a Theme by Haydn, Op.56b (Argerich and Freire)",Brahms
ouverture_81_(c)lucarelli,Brahms: Tragische Ouvertüre - Royal Concertgebouw Orchestra [HD],Brahms
etude_25_12_(c)unknown,Chopin - Etude Op. 25 No. 12 (Ocean),Chopin
valse_70_3_(c)dery,Chopin Valse Op.70 No.3 - P. Barton FEURICH piano,Chopin
